n,t,op,bytes,ms,status,remaining,resource,retryAfter,write,note
1,4,GET /user,0,3,200,4988,core,,false,
2,9,GET /repos,0,5,200,4988,core,,false,
3,10,environment,0,0,-,,,,false,"origin http://localhost:8000, repo public"
4,25296,probe 8,4096,519,201,4196,core,,true,
5,25335,probe 6,4096,558,201,4195,core,,true,
6,25336,probe 1,4096,561,201,4197,core,,true,
7,25357,probe 5,4096,581,201,4192,core,,true,
8,25436,probe 7,4096,660,201,4194,core,,true,
9,26358,probe 4,4096,1582,201,4193,core,,true,
10,26362,probe 2,4096,1586,201,4190,core,,true,
11,26364,probe 3,4096,1588,201,4191,core,,true,
12,26449,probe 9,4096,1152,201,4189,core,,true,
13,26497,probe 10,4096,1161,201,4187,core,,true,
14,26502,probe 11,4096,1166,201,4188,core,,true,
15,26763,probe 12,4096,1405,201,4186,core,,true,
16,26788,probe 14,4096,428,201,4184,core,,true,
17,26852,probe 15,4096,489,201,4183,core,,true,
18,26857,probe 16,4096,492,201,4182,core,,true,
19,26858,probe 13,4096,1420,201,4185,core,,true,
20,26930,probe 18,4096,432,201,4179,core,,true,
21,26960,probe 17,4096,510,201,4181,core,,true,
22,27207,probe 19,4096,704,201,4180,core,,true,
23,27331,probe 21,4096,540,201,4178,core,,true,
24,27344,probe 23,4096,486,201,4175,core,,true,
25,27422,probe 24,4096,563,201,4176,core,,true,
26,27591,probe 20,4096,828,201,4173,core,,true,
27,27658,probe 27,4096,449,201,4172,core,,true,
28,27702,probe 25,4096,770,201,4174,core,,true,
29,27716,probe 26,4096,755,201,4171,core,,true,
30,27755,probe 28,4096,423,201,4170,core,,true,
31,27768,probe 22,4096,914,201,4177,core,,true,
32,27983,probe 31,4096,391,201,4168,core,,true,
33,28024,probe 30,4096,600,201,4169,core,,true,
34,28168,probe 29,4096,822,201,4166,core,,true,
35,28221,probe 34,4096,504,201,4164,core,,true,
36,28249,probe 33,4096,546,201,4165,core,,true,
37,28254,probe 35,4096,499,201,4163,core,,true,
38,28303,probe 32,4096,643,201,4167,core,,true,
39,28396,probe 36,4096,628,201,4162,core,,true,
40,28511,probe 37,4096,527,201,4161,core,,true,
41,28517,probe 38,4096,491,201,4160,core,,true,
42,28664,probe 39,4096,494,201,4159,core,,true,
