n,t,op,bytes,ms,status,remaining,resource,retryAfter,write,note
1,663,GET /user,0,662,200,5000,core,,false,
2,1291,GET /repos,0,627,200,4999,core,,false,
3,1292,environment,0,0,-,,,,false,"origin http://localhost:8000, repo private"
4,10071,warmup (discarded),65536,1045,201,4999,core,,true,sha verified locally
5,10522,warmup (discarded),65536,448,201,4998,core,,true,sha verified locally
6,11326,putBlob 64 KB,65536,804,201,4997,core,,true,sha verified locally
7,12190,putBlob 256 KB,262144,861,201,4996,core,,true,sha verified locally
8,14414,putBlob 1.00 MB,1048576,2213,201,4995,core,,true,sha verified locally
9,16549,putBlob 4.00 MB,4194304,2113,201,4994,core,,true,sha verified locally
10,17345,putBlob 64 KB,65536,790,201,4993,core,,true,sha verified locally
11,18011,putBlob 256 KB,262144,662,201,4992,core,,true,sha verified locally
12,19704,putBlob 1.00 MB,1048576,1685,201,4991,core,,true,sha verified locally
13,21650,putBlob 4.00 MB,4194304,1909,201,4990,core,,true,sha verified locally
14,22167,putBlob 64 KB,65536,507,201,4989,core,,true,sha verified locally
15,22870,putBlob 256 KB,262144,697,201,4988,core,,true,sha verified locally
16,24574,putBlob 1.00 MB,1048576,1692,201,4987,core,,true,sha verified locally
17,26474,putBlob 4.00 MB,4194304,1843,201,4986,core,,true,sha verified locally
18,27309,putBlob 64 KB,65536,827,201,4985,core,,true,sha verified locally
19,28519,putBlob 256 KB,262144,1206,201,4984,core,,true,sha verified locally
20,30187,putBlob 1.00 MB,1048576,1657,201,4983,core,,true,sha verified locally
21,33021,putBlob 4.00 MB,4194304,2772,201,4982,core,,true,sha verified locally
22,34011,putBlob 64 KB,65536,979,201,4981,core,,true,sha verified locally
23,35287,putBlob 256 KB,262144,1271,201,4980,core,,true,sha verified locally
24,37362,putBlob 1.00 MB,1048576,2060,201,4979,core,,true,sha verified locally
25,39183,putBlob 4.00 MB,4194304,1775,201,4978,core,,true,sha verified locally
26,75822,putBlob chunk 256 KB,262144,1443,201,4977,core,,true,sha verified locally
27,77140,putBlob chunk 256 KB,262144,1312,201,4976,core,,true,sha verified locally
28,78179,putBlob chunk 256 KB,262144,1036,201,4975,core,,true,sha verified locally
29,79443,putBlob chunk 256 KB,262144,1262,201,4974,core,,true,sha verified locally
30,80649,putBlob chunk 256 KB,262144,1202,201,4973,core,,true,sha verified locally
31,81914,putBlob chunk 256 KB,262144,1260,201,4972,core,,true,sha verified locally
32,83276,putBlob chunk 256 KB,262144,1355,201,4971,core,,true,sha verified locally
33,84555,putBlob chunk 256 KB,262144,1275,201,4970,core,,true,sha verified locally
34,85306,putTree,0,747,201,4969,core,,true,
35,85953,putCommit,0,646,201,4968,core,,true,
36,86960,createRef,0,1004,201,4967,core,,true,cycle end to end: 12585 ms for 11 requests
37,88195,putBlob chunk 256 KB,262144,1230,201,4966,core,,true,sha verified locally
38,88783,putBlob chunk 256 KB,262144,581,201,4965,core,,true,sha verified locally
39,89835,putBlob chunk 256 KB,262144,1049,201,4964,core,,true,sha verified locally
40,91061,putBlob chunk 256 KB,262144,1219,201,4963,core,,true,sha verified locally
41,92275,putBlob chunk 256 KB,262144,1208,201,4962,core,,true,sha verified locally
42,93510,putBlob chunk 256 KB,262144,1228,201,4961,core,,true,sha verified locally
43,94532,putBlob chunk 256 KB,262144,1016,201,4960,core,,true,sha verified locally
44,95744,putBlob chunk 256 KB,262144,1206,201,4959,core,,true,sha verified locally
45,96301,putTree,0,552,201,4958,core,,true,
46,96816,putCommit,0,513,201,4957,core,,true,
47,97666,casRef,0,847,200,4956,core,,true,cycle end to end: 10708 ms for 11 requests
48,339431,probe 1,4096,473,201,4955,core,,true,
49,339851,probe 2,4096,413,201,4954,core,,true,
50,340331,probe 3,4096,478,201,4953,core,,true,
51,340715,probe 4,4096,382,201,4952,core,,true,
52,341470,probe 5,4096,752,201,4951,core,,true,
53,341883,probe 6,4096,411,201,4950,core,,true,
54,342329,probe 7,4096,444,201,4949,core,,true,
55,342734,probe 8,4096,401,201,4948,core,,true,
56,343151,probe 9,4096,414,201,4947,core,,true,
57,343525,probe 10,4096,373,201,4946,core,,true,
58,343918,probe 11,4096,391,201,4945,core,,true,
59,344269,probe 12,4096,349,201,4944,core,,true,
60,344734,probe 13,4096,463,201,4943,core,,true,
61,345100,probe 14,4096,364,201,4942,core,,true,
62,345479,probe 15,4096,375,201,4941,core,,true,
63,346006,probe 16,4096,523,201,4940,core,,true,
64,346406,probe 17,4096,399,201,4939,core,,true,
65,346780,probe 18,4096,372,201,4938,core,,true,
66,347147,probe 19,4096,361,201,4937,core,,true,
67,347533,probe 20,4096,380,201,4936,core,,true,
68,347961,probe 21,4096,422,201,4935,core,,true,
69,348378,probe 22,4096,413,201,4934,core,,true,
70,348775,probe 23,4096,394,201,4933,core,,true,
71,349223,probe 24,4096,446,201,4932,core,,true,
72,349580,probe 25,4096,353,201,4931,core,,true,
73,349957,probe 26,4096,374,201,4930,core,,true,
74,350347,probe 27,4096,388,201,4929,core,,true,
75,350860,probe 28,4096,509,201,4928,core,,true,
76,351222,probe 29,4096,359,201,4927,core,,true,
77,351628,probe 30,4096,401,201,4926,core,,true,
78,352010,probe 31,4096,378,201,4925,core,,true,
79,352363,probe 32,4096,350,201,4924,core,,true,
80,352796,probe 33,4096,430,201,4923,core,,true,
81,353170,probe 34,4096,372,201,4922,core,,true,
82,353587,probe 35,4096,414,201,4921,core,,true,
83,353947,probe 36,4096,354,201,4920,core,,true,
84,354313,probe 37,4096,364,201,4919,core,,true,
85,354881,probe 38,4096,567,201,4918,core,,true,
86,355343,probe 39,4096,460,201,4917,core,,true,
87,355715,probe 40,4096,370,201,4916,core,,true,
88,356141,probe 41,4096,423,201,4915,core,,true,
89,356604,probe 42,4096,458,201,4914,core,,true,
90,357046,probe 43,4096,436,201,4913,core,,true,
91,357414,probe 44,4096,366,201,4912,core,,true,
92,357786,probe 45,4096,368,201,4911,core,,true,
93,358164,probe 46,4096,375,201,4910,core,,true,
94,358539,probe 47,4096,370,201,4909,core,,true,
95,358920,probe 48,4096,376,201,4908,core,,true,
96,359298,probe 49,4096,367,201,4907,core,,true,
97,359679,probe 50,4096,377,201,4906,core,,true,
98,360117,probe 51,4096,433,201,4905,core,,true,
99,360510,probe 52,4096,389,201,4904,core,,true,
100,360937,probe 53,4096,420,201,4903,core,,true,
101,361337,probe 54,4096,384,201,4902,core,,true,
102,361733,probe 55,4096,393,201,4901,core,,true,
103,362081,probe 56,4096,344,201,4900,core,,true,
104,362465,probe 57,4096,381,201,4899,core,,true,
105,362843,probe 58,4096,374,201,4898,core,,true,
106,363258,probe 59,4096,413,201,4897,core,,true,
107,363636,probe 60,4096,375,201,4896,core,,true,
108,364067,probe 61,4096,427,201,4895,core,,true,
109,364496,probe 62,4096,426,201,4894,core,,true,
110,364854,probe 63,4096,352,201,4893,core,,true,
111,365214,probe 64,4096,357,201,4892,core,,true,
112,365573,probe 65,4096,352,201,4891,core,,true,
113,365933,probe 66,4096,357,201,4890,core,,true,
114,366440,probe 67,4096,504,201,4889,core,,true,
115,366872,probe 68,4096,429,201,4888,core,,true,
116,367227,probe 69,4096,352,201,4887,core,,true,
117,367704,probe 70,4096,473,201,4886,core,,true,
118,368123,probe 71,4096,413,201,4885,core,,true,
119,368550,probe 72,4096,424,201,4884,core,,true,
120,368951,probe 73,4096,395,201,4883,core,,true,
121,369374,probe 74,4096,416,201,4882,core,,true,
122,369768,probe 75,4096,389,201,4881,core,,true,
123,370148,probe 76,4096,372,201,4880,core,,true,
124,370512,probe 77,4096,362,201,4879,core,,true,
125,370909,probe 78,4096,394,201,4878,core,,true,
126,371272,probe 79,4096,360,201,4877,core,,true,
127,371635,probe 80,4096,357,201,4876,core,,true,
128,371992,probe 81,4096,349,201,4875,core,,true,
129,372343,probe 82,4096,348,201,4874,core,,true,
130,372685,probe 83,4096,340,201,4873,core,,true,
131,373100,probe 84,4096,410,201,4872,core,,true,
132,373479,probe 85,4096,374,201,4871,core,,true,
133,373830,probe 86,4096,349,201,4870,core,,true,
134,374183,probe 87,4096,347,201,4869,core,,true,
135,374535,probe 88,4096,350,201,4868,core,,true,
136,374934,probe 89,4096,396,201,4867,core,,true,
137,375298,probe 90,4096,360,201,4866,core,,true,
138,375680,probe 91,4096,376,201,4865,core,,true,
139,376090,probe 92,4096,407,201,4864,core,,true,
140,376455,probe 93,4096,359,201,4863,core,,true,
141,376828,probe 94,4096,366,201,4862,core,,true,
142,377299,probe 95,4096,469,201,4861,core,,true,
143,377665,probe 96,4096,360,201,4860,core,,true,
144,378031,probe 97,4096,360,201,4859,core,,true,
145,378382,probe 98,4096,348,201,4858,core,,true,
146,378885,probe 99,4096,497,201,4857,core,,true,
147,379256,probe 100,4096,369,201,4856,core,,true,
148,379266,E3 result,0,0,-,,,,false,no trip: 100 writes in 40.3s = 149/min sustained at concurrency 1
149,417276,"GET raw (control, old file)",0,124,network,,,,false,fetch failed: Failed to fetch
150,418053,GET tree,0,768,200,4998,core,,false,
151,419157,GET blob (API),0,1102,200,4997,core,,false,
152,419191,GET raw (no auth),0,32,network,,,,false,fetch failed: Failed to fetch
153,419231,GET raw (range 0-65535),0,39,network,,,,false,fetch failed: Failed to fetch
154,419584,GET raw (no-cors probe),0,350,opaque,,,,false,"host reachable, opaque response: CORS is the blocker, not the network"
155,420452,GET jsDelivr,0,865,network,,,,false,fetch failed: Failed to fetch
156,420482,raw poll 1,0,28,network,,,,false,fetch failed: Failed to fetch
157,423521,raw poll 2,0,32,network,,,,false,fetch failed: Failed to fetch
158,426557,raw poll 3,0,27,network,,,,false,fetch failed: Failed to fetch
